Researcher,Overview,book,"length (pages, time stamp, slide #) ",text type,summary,author,year of publication,Text Complexity,Qualitative measures,levels of meaning,text structure,language conventionality and clarity,knowledge demands,Quantitative measure descriptors,lexile level,Flesch-Kincaid,ATOS Reading Level,reader maturity,Instructional Merit Descriptors,genre,theme/topic,subgenre,cultural experience 
Erin,,Code Talker,240,Novel,"Ned Begay, a Navajo Marine, recounts his journey from a childhood of cultural suppression in boarding school to becoming a celebrated World War II code talker, ultimately sharing his story with his grandchildren to honor his heritage and inspire future generations.",Joseph Bruchac,2005,,,Moderately Complex ,Moderately Complex ,Moderately Complex ,Very Complex,,910,6.51,7,6 to 12,,historical fiction,"oppression, identity, the power of language, sacrifice","war, World War II, memory, coming of age, resilience",American Indian
Erin,,Crying In H-Mart,256,Memoir,"After the death of her mother, Michelle navigates grief, family tensions, and her Korean-American identity by reconnecting with her heritage through food, music, and family bonds both in the U.S. and Korea.",Michelle Zauner,2021,,,Very Complex,Moderately Complex ,Moderately Complex ,Very Complex,,1030,8.32,9.67,10 to 12,,biography,"heritage, grief, cultural identity, food in culture","mother-daughter relationships, immigrant experience, family, resilience",Korean
Erin,,David Copperfield,1024,Novel,"David Copperfield recounts his life from a troubled childhood through personal loss, love, and betrayal, ultimately finding purpose, maturity, and happiness through love, hard work, and writing.",Charles Dickens,1850,,,Very Complex,Very Complex,Exceedingly Complex,Very Complex,,1070,8.32,9.67,9 to 12,,historical fiction,"class and society, self-discovery, family, loss of innocence","coming of age, resilience, loss, love, morality",
Erin,,Death On The Nile,288,Novel,"While honeymooning in Egypt, wealthy heiress Linnet Ridgeway is murdered aboard a Nile steamer, prompting detective Hercule Poirot to unravel a complex web of deception, betrayal, and loveultimately revealing that her death was the result of a calculated plot by her new husband Simon Doyle and his former lover Jacqueline de Bellefort.",Agatha Christie,1937,,,Very Complex,Moderately Complex ,Moderately Complex ,Moderately Complex ,,660,3.66,3.95,9 to 12,,crime fiction,"obsession, wealth vs. value, power and control","mystery, jealousy, love, betrayal, violence, suicide",
Erin,,Dracula,432,Novel,"Jonathan Harker travels to Transylvania to meet Count Dracula, discovers the counts vampire nature and imprisonment, while back in England, Draculas evil spreads through attacks on Harkers fiance Mina and her friend Lucy, leading a group including Van Helsing and Jonathan to unite in hunting and ultimately destroying Dracula.",Bram Stoker,1897,,,Very Complex,Very Complex,Moderately Complex ,Moderately Complex ,,1020,7.72,7.03,7 to 12,,gothic fiction,"good vs. evil, fear of the unknown, immortality","horror, madness, supersitions, sexuality, mystery",
Ainsley,,Dune,489,Novel,"Paul Atreides is thrust into power on the desert planet Arrakis, where he uncovers the harsh realities of political control and begins to question the empire's exploitation and prophecy.",Frank Herbert,1965,,,Very Complex,Very Complex,Very Complex,Exceedingly Complex,,800,7.72,7.03,7 to 12,,science fiction,"fate vs free will, power and control, religion","epic, political, philosophical, imperialism, classic, allegory",
Ainsley,,East Of Eden,600,Novel,East of Eden is a multigenerational family saga that explores the struggle between good and evil through the intertwined lives of the Trask and Hamilton families in Californias Salinas Valley.,John Steinbeck,1952,,,Very Complex,Very Complex,Moderately Complex,Very Complex,,700,7.72,7.03,9 to 12,,historical fiction,"fate vs free will, good vs. evil, family","allegory, generations, family drama, thought-provoking, rural",
Ainsley,,Eleanor And Park,320,Novel,"Eleanor and Park fall in love over comics and mixtapes, but their relationship makes them question the cruelty, abuse, and expectations of their 1980s high school world.",Rainbow Rowell,2012,,,Very Complex,Moderately Complex,Moderately Complex,Very Complex,,580,5.34,5.14,9 to 12,,realistic fiction,"love, relationships, family, identity","coming of age, descriptions of sexual abuse, the cruelty of bullying, trauma, belonging",Asian American/Biracial
Ainsley,,Emma,448,Novel,"Emma Woodhouse, a confident but misguided matchmaker, meddles in others love lives only to discover her own need for self-awareness and true love.",Jane Austen,1815,,,Very Complex,Moderately Complex,Very Complex,Moderately Complex,,1080,8.32,9.67,9 to 12 ,,fiction,"gender roles, personal growth, marriage","romance, satire, social commentary, British, class, witty",
Ainsley,,Everything I Never Told You,336,Novel,"Lydias sudden death forces her family to confront hidden pressures, unspoken fears, and the complexities of identity in their racially tense 1970s small town.",Celeste Ng,2014,,,Very Complex,Moderately Complex,Moderately Complex,Very Complex,,870,7.72,7.03,9 to 12,,fiction,"family, facing racism, identity, communication","mystery, coming of age, cultural identity, loss, generations",Asian American
Ainsley,,Farewell To Manzanar,224,Memoir,"Farewell to Manzanar recounts Jeanne Wakatsukis childhood experience in a Japanese American internment camp during World War II, as her family struggles with injustice, identity, and resilience in the face of forced relocation.",James D. Houston and Jeanne Wakatsuki Houston,1973,,,Moderately Complex,Moderately Complex,Moderately Complex,Very Complex,,1040,6.51,7,7 to 12,,"memoir, nonfiction","facing racism, belonging, resilience, family","cultural identity, World War II, biography, history, personal growth",Asian American
Ainsley,,The Fault In Our Stars,352,Novel,"Two teens with cancer, Hazel and Augustus, fall in love and grapple with life, death, and meaning in a heartfelt journey marked by humor, pain, and deep connection.",John Green,2012,,,Moderately Complex,Moderately Complex,Moderately Complex,Very Complex,,850,5.34,5.14,7 to 12,,realistic fiction,"love, loss, human connection, mortality","young adult literature, tear jerker, romance, self-discovery, sensational",
Ainsley,,Fish,192,Novel,"Young Tiger and their family flee a war-torn country on foot, and as they face hunger, danger, and an uncertain future, Tigers determination to save a small fish becomes a powerful symbol of hope, compassion, and the will to survive.",L. S. Matthews,2003,,,Moderately Complex,Slightly Complex,Slightly Complex,Moderately Complex,,910,6.51,7,5 to 8,,science fiction,"hope, family, war","human connection, resilience, children's literature, refugee, multicultural",
Ainsley,,A Game Of Thrones,720,Novel,"Noble families vie for power in the politically treacherous land of Westeros, where betrayal, war, and ancient threats from beyond the Wall challenge their ambitions and survival.",George R. R. Martin,1996,,,Very Complex,Very Complex,Very Complex,Very Complex,,830,7.72,7.03,9 to 12,,fantasy fiction,"power and control, honor, war, loyalty","epic, political, violence, family feuds, moral ambiguity, supernatural",
Ainsley,,Girl In Hyacinth Blue,272,Novel,"Girl in Hyacinth Blue traces the secret history of a mysterious Vermeer painting as it passes through the lives of various owners, revealing how art touches and transforms people across time.",Susan Vreeland,1999,,,Very Complex,Very Complex,Moderately Complex,Very Complex,,950,6.51,7,7 to 12,,historical fiction,"experience of art, memory, love","European, generations, history, emotional",
Ainsley,,Gone With The Wind,1037,Novel,"Headstrong Scarlett OHara navigates love, loss, and survival during the American Civil War and Reconstruction, determined to protect her family and Southern way of life at any cost.",Margaret Mitchell,1936,,,Very Complex,Very Complex,Very Complex,Very Complex,,1030,10.34,9.98,7 to 12,,historical fiction,"war, class and society, survival, social change","romance, Civil War, gender roles, classic, American South, racism",
Ainsley,,Half Of A Yellow Sun,560,Novel,"Half of a Yellow Sun follows the intertwined lives of three characters during the Biafran War in 1960s Nigeria, revealing the personal and political toll of colonialism, love, and survival in a nation torn apart by conflict.",Chimamanda Ngozi Adichie,2006,,,Very Complex,Very Complex,Moderately Complex,Very Complex,,920,6.51,7,9 to 12,,historical fiction,"war, colonialism, cultural identity","political, family, history, loyalty, resistance, gender roles",African (Nigerian)
Ainsley,,Hiroshima,160,Non-Fiction Book,"Hiroshima recounts the immediate and long-term experiences of six survivors of the atomic bombing, revealing the human cost and resilience in the aftermath of World War II.",John Hersey,1946,,,Very Complex,Very Complex,Moderately Complex,Exceedingly Complex,,1190,10.34,11.2,9 to 12,,"nonfiction, historical nonfiction","burdens of war, community, resilience","survival, nuclear war, World War II, pyschological, narrative nonfiction, investigative reporting",Asian
Ainsley,,How It Feels To Be Colored Me,32,Essay,"Zora Neale Hurston reflects on her experience of racial identity with boldness and joy, rejecting victimhood and celebrating her individuality in a segregated America.",Zora Neale Hurston,1928,,,Very Complex,Moderately Complex,Moderately Complex,Moderately Complex,,720,4.51,4.97,7 to 12,,"autobiographical, essay","facing racism, self-discovery, identity","cultural identity, empowering, individuality, joyful, Harlem Renaissance",African American
Ainsley,,How The Garcia Girls Lost Their Accents,336,Novel,"Four sisters navigate their immigrant experience, cultural identity, and family dynamics after moving from the Dominican Republic to the United States.",Julia Alvarez,1991,,,Very Complex,Moderately Complex,Moderately Complex,Very Complex,,950,6.51,7,9 to 12,,fiction,"cultural identity, legacy of heritage, the importance of language","coming of age, immigrant experience, family drama, self-discovery, storytelling",Latina
Ainsley,,How To Be An Antiracist,320,Non-Fiction Book,"Ibram X. Kendi blends personal narrative with historical analysis to argue that it's not enough to be ""not racist""one must actively confront and oppose racism in all its forms through consistent, conscious action.",Ibram X. Kendi,2019,,,Very Complex,Moderately Complex,Moderately Complex,Exceedingly Complex,,,,,7 to 12,,nonfiction,"facing racism, activism, identity, social change","political, thought provoking, social commentary, memoir, social justice",African American
Ainsley,,How To Win Friends And Influence People,291,Non-Fiction Book,"Dale Carnegie offers timeless principles for effective communication, teaching readers how to build rapport, inspire trust, and positively influence others through empathy, genuine interest, and respectful interaction.",Dale Carnegie,1936,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,1020,10.34,9.98,7 to 12,,"nonfiction, self-help","communication, relationships, personal growth","psychology, sensational, the power of words, social science, self-improvement",
Ainsley,,I Am Not Your Perfect Mexican Daughter,352,Novel,"After the sudden death of her seemingly perfect sister, Julia struggles with grief, family expectations, and finding her own identity as a rebellious Mexican American teen caught between two cultures.",Erika L. Snchez,2017,,,Very Complex,Moderately Complex,Moderately Complex,Very Complex,,730,5.34,5.14,7 to 12,,realistic fiction,"cultural identity, legacy of heritage, family, self-discovery","grief, mental health, coming of age, young adult literature, rebellion, mother-daughter relationships",Latina
Ainsley,,If I Stay,210,Novel,"After a tragic car accident leaves her in a coma, Mia must choose between life and death as she watches her past and present unfold, questioning whats left to live for without the family shes lost.",Gayle Forman,2009,,,Very Complex,Moderately Complex,Moderately Complex,Moderately Complex,,830,5.34,5.14,7 to 12,,realistic fiction,"love, loss, choice, mortality","tear-jerker, romance, coming of age, young adult literature, mortality, purpose",
Ainsley,,The Immortal Life Of Henrietta Lacks,381,Non-Fiction Book,"The Immortal Life of Henrietta Lacks uncovers the true story of Henrietta Lacks, whose cancer cells were taken without her knowledge and led to groundbreaking medical advances, while exploring the ethical and racial issues surrounding her legacy.",Rebecca Skloot,2010,,,Very Complex,Very Complex,Very Complex,Exceedingly Complex,,1140,10.34,9.98,7 to 12,,"nonfiction, biography","racism, ethics of science, immortality","class and society, science, legacy, social justice, agency, suffering",African American
Erin,,Importance Of Being Earnest,58,Drama,"Jack Worthing and Algernon Moncrieff both lead double lives under the name ""Ernest"" to pursue love and freedom, but their deceptions unravel when they both fall for women fixated on the name Ernest, leading to comedic misunderstandings and a surprising family revelation.",Oscar Wilde,1895,,,Very Complex,Exceedingly Complex,Exceedingly Complex,Exceedingly Complex,,1390,14.2,14.1,9 to 12,,historical fiction,"social class, identity, hypocrisy, marriage","Victorian, social satire, deception, irony, truth",
Erin,,In Cold Blood,343,Novel,"Two drifters, Perry Smith and Dick Hickock, brutally murder the Clutter family in rural Kansas, leading to a tense investigation, their capture, trial, and eventual execution while exploring the complex backgrounds and motivations behind the crime.",Truman Capote,1965,,,Very Complex,Very Complex,Moderately Complex,Very Complex,,1040,8.32,9.67,7 to 12,,nonfiction,"good vs. evil, crime, justice, ","true crime, narrative nonfiction, guilt, rural, psychological, Kansas",
Erin,,Killers Of The Flower Moon,352,Novel,"Killers of the Flower Moon recounts the brutal murders of wealthy Osage Nation members in the 1920s Reign of Terror, the ensuing flawed local investigations, the eventual federal crackdown led by Agent Tom White, and the authors modern-day efforts to uncover the full scope of this dark chapter of American history.",David Grann,2017,,,Exceedingly Complex,Exceedingly Complex,Very Complex,Exceedingly Complex,,1160,10.34,9.98,10 to 12,,nonfiction,"greed, dehumanization, power and control, tradition vs. change","true crime, racism, injustice, betrayal, truth",Osage (American Indian)
Erin,,The Last Of The Mohicans,448,Novel,"Amid the chaos of the French and Indian War, British daughters Alice and Cora Munro are repeatedly kidnapped and rescued across the wild frontier by the noble scout Hawkeye, the last Mohicans, and their allies, while the vengeful Huron Magua pursues a deadly personal vendetta that ends in tragic loss for all.",James Fenimore Cooper,1826,,,Very Complex,Exceedingly Complex,Exceedingly Complex,Very Complex,,1230,10.22,10.84,9 to 12,,historical fiction,"cultural identity, burdens of war, heroism, honor","imperialism, French and Indian War, history, race, nature",
Erin,,The Fellowship Of The Ring,423,Novel,"Frodo Baggins, a humble Hobbit, inherits a powerful ring sought by the Dark Lord Sauron and sets out on a perilous journey to destroy it in the fires of Mordor, aided by a diverse fellowship of allies but ultimately choosing to continue the quest with only his loyal friend Sam.",J.R.R. Tolkien,1954,,,Moderately Complex,Very Complex,Moderately Complex,Very Complex,,860,6.12,6,7 to 12 ,,science fiction,"good vs. evil, sacrifice, friendship, fate vs. free will","fantasy, adventure, hope, nature, power",
Erin,,Maggie: A Girl Of The Streets,158,Novel,"The novel follows the tragic decline of Maggie, a young woman from New Yorks Bowery, whose hopes for escape through love and a better life are crushed by poverty, family dysfunction, betrayal, and abandonment, culminating in her downfall and death amid the harsh realities of her environment.",Stephen Crane,1893,,,Very Complex,Moderately Complex,Moderately Complex,Very Complex,,270,,,9 to 12,,historical fiction,"poverty, loss of innocence, despair","betrayal, corruption, morality, urban, social commentary",
Erin,,Mexican Gothic,320,Novel,"In Mexican Gothic, glamorous socialite Noem Taboada travels to a decaying English estate in rural Mexico to check on her ailing cousin, only to uncover a horrifying legacy of colonial violence, eugenics, and supernatural control rooted in a sentient, life-extending fungus and a family determined to preserve their power at any cost.",Silvia Moreno-Garcia,2020,,,Very Complex,Moderately Complex,Very Complex,Very Complex,,,,,adult,,gothic fiction,"power and control, colonialism, immortality","horror, supernatural, psychological, female agency, history",Mexican
Erin,,Midnight Library,304,Novel,"After a failed suicide attempt, Nora Seed finds herself in a library between life and death where she explores countless alternate versions of her life, ultimately discovering that embracing her flawed but real existence is the key to hope and meaning.",Matt Haig,2020,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,,,,11 to 12,,science fiction,"self-discovery, the butterfly effect, the value of life","fantasy, regret, suicide attempts, mental health, identity",
Erin,,Mcteague,496,Novel,"McTeague, a rough and untrained dentist in San Francisco, marries Trina after she wins the lottery, but their marriage deteriorates due to greed, jealousy, and violence, culminating in murder and a deadly pursuit through the desert.",Frank Norris,1899,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,1010,7.72,7.03,10 to 12 ,,historical fiction,"greed, self-destruction, class","violence, isolation, naturalism, jealousy, betrayal",
Erin,,Much Ado About Nothing,246,Drama,"In the Italian town of Messina, misunderstandings and deception threaten the happiness of two couplesClaudio and Hero, and Beatrice and Benedickbut love ultimately triumphs through truth, forgiveness, and reconciliation.",William Shakespeare,1600,,,Very Complex,Exceedingly Complex,Exceedingly Complex,Exceedingly Complex,,1020,7.72,7.03,10 to 12 ,,"classic, drama","deception, love, redemption","gender roles, honor, humor, loyalty",
Ashly,,Murder On The Orient Express,274,Novel,"Hercule Poirot, a famous Belgian detective, hops onto the luxerious Orient Express Train. On this train, a wealthy American named Samuel Ratchett is found murdered in his cabin. The train is stopped by a snowdrift, and Poirot is asked to investigate. As he interviews the passengers, he uncovers that many of them are connected to a tragic kidnapping and murder case from years earlier involving a girl named Daisy Armstrong.",Agatha Christie,1933,,,Moderately Complex,Moderately Complex,Moderately Complex,Slightly Complex,,640,6.5,6.2,8 to 11,,historical fiction,"mystery, justice, morality, revenge, truth, deception","Whodunnit, Thriller, Crime, Locked Room Mystery",
Erin,,My Name Is Asher Lev,384,Novel,"Asher Lev, a gifted young artist from a strict Hasidic Jewish community, struggles to reconcile his passion for paintingespecially controversial subjects like crucifixions and nudeswith the rigid beliefs of his family and faith, ultimately leading to his exile from the community as he pursues his artistic vision.",Chaim Potok,1972,,,Very Complex,Moderately Complex,Moderately Complex,Very Complex,,640,3.95,3.66,11 to 12,,"historical fiction, bildungsroman","tradition vs. change, experience of art, familial expectations","sacrifice, religion, individuality, Christian values, identity",Hasidic Judaism
Erin,,Nobody Will Tell You This But Me,224,Memoir,"Nobody Will Tell You This But Me by Bess Kalb is a memoir told in the imagined voice of the author's late grandmother, Bobby, who shares humorous, poignant, and loving life advice while recounting their deep bond across generations.",Bess Kalb,2020,,,Very Complex,Moderately Complex,Moderately Complex,Moderately Complex,,,,,adult,,"memoir, autobiography","mother-daughter relationships, legacy of heritage, identity","love, grief, memory, family, mortality",
Ashly,,Oliver Twist,368,Novel,"Oliver, a young orphan born into poverty, escapes to London after years of mistreatment and hardship. He joins a gang of child thieves led by Fagin. As Oliver struggles to stay honest amid crime and corruption, his true identity and a hidden inheritance gradually come to light. The novel explores themes of social injustice, child labor, and the struggle between good and evil in a harsh society.",Charles Dickens,1838,,,Moderately Complex,Moderately Complex,Very Complex,Moderately Complex,,850,6.12,6,7 to 12 ,,historical fiction,"poverty, social injustice, crime, redemption, child labor","exploitation, coming of age, social novel, satire",
Ashly,,One Day In The Life Of Ivan Denisovich,188,Novel,"As the title suggests, this novel takes place over the course of one day in Ivan's life. Sentenced to a camp in the Soviet Gulag system, the novel explores the injustice the young man faces as he's blamed and accused of being a spy. Although innocent, he is forced to spend 10 years in this camp. ",Aleksandr Isaevich Solzhenitsyn,1963,,,Moderately Complex,Moderately Complex,Very Complex,Very Complex,,900,6.5,6.03,9 to 12 ,,historical fiction,"dehumanization, war, imprisonment, survival, despair","psychological, political fiction, existential, mortality",
Ashly,,One Hundred Years Of Solitude,417,Novel,"Jos Arcadio Buenda founds the town of Macondo, and as his familys generations unfold, they struggle with solitude, fate, and repeating the mistakes of the past in a world shaped by magical realism.",Gabriel Garcia Marquez,2006,,,Exceedingly Complex,Exceedingly Complex,Exceedingly Complex,Moderately Complex,,1410,10.22,10.84,9 to 12,,historical fiction,"isolation, time, family","magical realism, epic, political, generations, memory, sexuality",Latino (Latin America)
Ashly,,One Of Us Is Lying,368,Novel,"Five high school students walk into detention, but when one of them dies, the remaining four must confront secrets and lies that make them all suspects in a twisting murder mystery.",Karen M. McManus,2017,,,Moderately Complex,Moderately Complex,Slightly Complex,Moderately Complex,,730,5.1,5.3,7 to 12,,mystery fiction,"truth, justice, friendship","whodunnit, young adult literature, coming of age, drama, mystery, gossip",
,,Oryx And Crake,389,Novel,"Jimmy, later known as Snowman, reflects on his friendship with the brilliant but disturbed Crake, whose genetic experiments lead to the destruction of humanity and the creation of a new, engineered species.",Margaret Atwood,2003,,,Exceedingly Complex,Very Complex,Very Complex,Very Complex,,1250,10.12,11.32,9 to 12 ,,fantasy fiction,"ethics of science experimentation, corporations, human impact on the environment","dystopian, social commentary, memory, relationships, romance",
,,Other Side Of The Sky: A Memoir,256,Memoir,"Farah Ahmedi recounts her harrowing journey from war-torn Afghanistan to a new life in America, overcoming the loss of her leg, family tragedy, and cultural displacement with resilience and hope.",Farah Ahmedi,2005,,,Moderately Complex,Slightly Complex,Moderately Complex,Moderately Complex,,850,7.72,7.03,7 to 12 ,,"memoir, autobiography","immigrant/refugee experience, resilience, burdens of war","gender roles, cultural identity, hero's journey, overcoming adversity, education",Afghan
,,The Poisonwood Bible,543,Novel,"The Price family moves to the Congo as missionaries, and this journey forces each of them to confront their beliefs, identity, and guilt in the face of cultural clash and political upheaval.",Barbara Kingsolver,1998,,,Very Complex,Very Complex,Moderately Complex,Very Complex,,960,7.72,7.03,9 to 12 ,,historical fiction,"imperialism, colonialism, religion","cultural identity, family drama, political, redemption, coming of age",Congolese
,,Rebecca,449,Novel,"A young bride moves to her husbands grand estate, where she becomes haunted by the lingering presence and mysterious death of his first wife, Rebecca.",Daphne du Maurier,1938,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,880,7.72,7.03,7 to 12 ,,gothic fiction,"memory, gender roles, power and control","gothic, romance, psychological thriller, identity, classic, obsession",
,,Red Rising,416,Novel,"Darrow, born a lowly Red, infiltrates the elite Gold society to spark a revolution against the oppressive caste system that controls his world.",Pierce Brown,2014,,,Moderately Complex,Moderately Complex,Slightly Complex,Slightly Complex,,630,5.34,5.14,7 to 12 ,,science fiction,"the impact of technology, revolution, class corruption, power and control","dystopian, epic, political, hero's journey, space opera",
Ashly,,Petey,281,Novel,"In 1922, Petey, who has cerebral palsy, is misdiagnosed as an idiot and institutionalized. Still in the institution 60 years later, he befriends a boy and shares with him the joy of life.",Ben Mikaelson,1998,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,740,4.51,4.8,5 to 8,,fiction,"friendship, aging, isolation, perserverence ","hopeful, physical handicaps, human spirit, mistreatment",Disability
Ainsley,,Remarkably Bright Creatures,368,Novel,"Tova, a grieving widow, forms an unlikely friendship with a curious octopus at the local aquarium, leading her to uncover hidden truths and find hope amid her loneliness.",Shelby Van Pelt,2022,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,,,,9 to 12,,"fiction, mystery","loss, grief, friendship, healing","magical realism, unlikley friendships, hopeful, emotional, anthropomorphism",
Ainsley,,The Scarlet Pimpernel,319,Novel,"A daring English nobleman leads a secret double life rescuing French aristocrats from the guillotine during the Reign of Terror, all while maintaining the faade of a carefree socialite.",Baroness Emmuska Orczy,1905,,,Moderately Complex,Moderately Complex,Moderately Complex,Very Complex,,1140,10.34,9.98,7 to 12,,historical fiction,"identity, loyalty, courage","society and class, revolution, history, adventure, heroism, romance",
Ainsley,,The Secret Life Of Bees,336,Novel,"14-year-old Lily Owens flees her abusive father in 1964 South Carolina and, alongside her caretaker Rosaleen, discovers refuge, female solidarity, and long-buried truths when they are welcomed into the beekeeping household of three Black sisters.",Sue Monk Kidd,2001,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,840,4.51,4.97,9 to 12,,historical fiction,"love, loss, community, identity","coming of age, American South, racism, self-discovery, mother-daughter relationships",African American
Ainsley,,Sir Knight Of The Splendid Way,134,Novel,"A young squire named Sir Constant is knighted into service of the Great King and embarks on an allegorical quest along the Splendid Waybattling temptations from figures like the Black Knight, the Whisperer, and Master Envyas he journeys through trials toward the City of the Great King.", W. E. Cule ,1926,,,Very Complex,Moderately Complex,Very Complex,Very Complex,,,,,5 to 12 ,,fantasy fiction,"morality, spirituality, faith ","allegory, Christian values, medieval, quest, self-discovery",
Ainsley,,Six Of Crows,465,Novel,"Kaz Brekker assembles a crew of outcasts for an impossible heist, forcing each of them to confront their pasts and question their loyalty in a corrupt, magic-infused world.",Leigh Bardugo,2015,,,Very Complex,Moderately Complex,Moderately Complex,Moderately Complex,,790,5.34,5.14,7 to 12 ,,fantasy fiction ,"power, loyalty, friendship","young adult literature, found family, revenge, belonging, trauma, adventure, multicultural",LGBTQ+
Ainsley,,So You Want To Talk About Race,256,Non-Fiction Book," Ijeoma Oluo equips readers with candid, question-driven guidance on navigating systemic racism, privilege, and uncomfortable conversationsempowering individuals to engage thoughtfully and drive social change.",Iljeoma Oluo,2018,,,Very Complex,Moderately Complex,Moderately Complex,Very Complex,,,,,7 to 12 ,,nonfiction,"race, social justice, activism","systemic racism, social commentary, political, intersectionality, privilege",African American
Ainsley,,"Stamped: Racism, Antiracism, And You: A Remix Of The National Book Award-Winning Stamped From The Beginning",368,Non-Fiction Book,"This remix of Kendis award-winning work unpacks the history of racist ideas in America, explaining how they were formed, spread, and challenged across centuries in a way thats accessible for young readers.",Jason Reynolds and Ibram X. Kendi,2020,,,Moderately Complex,Moderately Complex,Moderately Complex,Very Complex,,1000,7.72,7.03,5 to 12,,nonfiction ,"facing racism, activism, social change","young adult literature, social justice, political, social commentary, personal growth",African American
Ainsley,,Station Eleven,336,Novel,"After a devastating pandemic collapses civilization, a traveling troupe of actors and musicians searches for meaning, art, and human connection in a world forever changed.",Emily St. John Mandel,2014,,,Very Complex,Moderately Complex,Moderately Complex,Moderately Complex,,,,6.5,7 to 12 ,,science fiction,"survival, experience of art, the importance of human connection","adventure, dystopian, post-apocalyptic, found family, Shakespeare",
Ainsley,,Siddhartha,160,Novel,"Siddhartha, a young man in ancient India, embarks on a lifelong spiritual journey to find enlightenment, exploring pleasure, suffering, and self-discovery along the way.",Hermann Hesse,1922,,,Exceedingly Complex,Very Complex,Very Complex,Exceedingly Complex,,1010,7.72,7.03,9 to 12 ,,fiction,"self-discovery, connection to nature, spirituality","philosophical, inspiring, truth, purpose, thought provoking",Indian
Ainsley,,The Abolition Of Man,128,Non-Fiction Book,"C.S. Lewis argues that abandoning objective moral values in education and culture leads to the erosion of humanity itself, ultimately creating ""men without chests""intellectually capable but morally hollow individuals.",C. S. Lewis,1943,,,Very Complex,Very Complex,Very Complex,Exceedingly Complex,,,,,9 to 12 ,,"nonfiction, essay","morality, human connection to nature, truth","philosophical, education, ethics, Christian values, human nature",
Ainsley,,The Boy In The Striped Pajamas,224,Novel,"When Bruno, the son of a Nazi commandant, befriends a Jewish boy on the other side of a concentration camp fence, their innocent friendship leads to a heartbreaking and tragic conclusion.",John Boyne,2006,,,Very Complex,Moderately Complex,Moderately Complex,Very Complex,,1000,7.72,7.03,7 to 12 ,,historical fiction,"loss of innocence, friendship, prejudice","tear-jerker, tragedy, World War II, burdens of war, family, freedom vs control",Holocaust/Jewish
Ainsley,,The Brothers Karamazov,824,Novel,"Three very different brothers struggle with faith, morality, and guilt as they become entangled in the murder of their father, revealing the deep psychological and spiritual conflicts at the heart of human nature.",Fyodor Dostoevsky,1880,,,Exceedingly Complex,Exceedingly Complex,Exceedingly Complex,Exceedingly Complex,,1010,10.34,9.98,10 to 12 ,,historical fiction,"faith, morality, human nature","family drama, philosophical, existential, mystery, doubt, fate vs. free will",
Ainsley,,The Dangerous Art Of Blending In,336,Novel,"Evan, a quiet Greek-American teen struggling with abuse and the burden of hiding his sexuality, begins to find his voiceand the courage to live as himselfwhen his feelings for his best friend start to surface.",Angelo Surmelis,2018,,,Moderately Complex,Slightly Complex,Moderately Complex,Moderately Complex,,500,1.98,2.75,8 to 12 ,,realistic fiction,"identity, love, abuse","coming of age, young adult literature, romance, immigrant experience, emotional",LGBTQ+/Greek American
Ainsley,,The DevilS Highway: A True Story,272,Non-Fiction Book,"This harrowing nonfiction account follows the journey of twenty-six Mexican men who attempted to cross the deadly Arizona desert in 2001, exposing the brutal realities of immigration, border policy, and human survival.",Luis Alberto Urrea,2004,,,Very Complex,Very Complex,Moderately Complex,Very Complex,,890,7.72,7.03,7 to 12,,"nonfiction, biography","immigration, survival, suffering","narrative nonfiction, investigate reporting, hardship, moral responsibility, border policy",Latino
Ainsley,,The Freedom Writers Diary,277,Non-Fiction Book,"Told through powerful student journal entries, The Freedom Writers Diary follows a first-year teacher and her at-risk high school students as they overcome violence, racism, and hardship through writing, ultimately finding hope, identity, and purpose.",Erin Gruwell and Freedom Writers,1999,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,900,7.72,7.03,7 to 12 ,,"nonfiction, memoir","the power of words, self-discovery, education","empowering, coming of age, urban, social justice, overcoming adversity, tolerance",
Ainsley,,The Glass Menagerie,104,Drama,"In this memory play, Tom Wingfield recalls his life with his fragile sister Laura and overbearing mother Amanda, as their hopes and illusions slowly unravel under the weight of reality and regret.",Tennessee Williams,1944,,,Very Complex,Very Complex,Moderately Complex,Moderately Complex,,,9,5.3,9 to 12,,drama,"memory, family, dreams vs. reality ","psychological, family drama, isolation, gender roles, melancholy",
Ainsley,,The Great Alone,440,Novel,"In the rugged wilderness of Alaska, a troubled family struggles to survive and find hope as they confront harsh nature, personal demons, and the ties that bind them.",Kristin Hannah,2017,,,Moderately Complex,Slightly Complex,Slightly Complex,Moderately Complex,,720,5.34,5.12,7 to 12 ,,"fiction, historical fiction","survival, family, love, man vs. nature","coming of age, family drama, trauma, sacrifice, mental health, resilience",
